,cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,location,site_depth,max_waveheight,max_windspeed,transit_speed,num_vessels,num_ahts_vessels
1314,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,3926.269230769231,GravityBasedInstallation,,,,,,,3.0,0.0
1315,,Turbine Assembly Line 1,Prepare for Turbine Assembly,12.0,0.0,ACTION,3926.269230769231,GravityBasedInstallation,,,,,,,,
1316,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,166.46153846153857,743438.038461539,ACTION,3926.269230769231,GravityBasedInstallation,,Site,,,,,,
1317,,Turbine Assembly Line 2,Prepare for Turbine Assembly,12.0,0.0,ACTION,3926.846153846154,GravityBasedInstallation,,,,,,,,
1318,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,3930.269230769231,GravityBasedInstallation,,,,,,,,
1319,,Turbine Assembly Line 2,Lift and Attach Tower Section,4.0,0.0,ACTION,3930.846153846154,GravityBasedInstallation,,,,,,,,
1320,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,3931.269230769231,GravityBasedInstallation,,,,,,,,
1321,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,3932.269230769231,GravityBasedInstallation,,,,,,,,
1322,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,3934.269230769231,GravityBasedInstallation,,,,,,,,
1323,,Turbine Assembly Line 2,Lift and Attach Tower Section,4.0,0.0,ACTION,3934.846153846154,GravityBasedInstallation,,,,,,,,
1324,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,3944.269230769231,GravityBasedInstallation,,,,,,,,
1325,,Turbine Assembly Line 1,Lift and Attach Nacelle,12.0,0.0,ACTION,3946.269230769231,GravityBasedInstallation,,,,,,,,
1326,,Turbine Assembly Line 2,Lift and Attach Nacelle,12.0,0.0,ACTION,3946.846153846154,GravityBasedInstallation,,,,,,,,
1327,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,3949.769230769231,GravityBasedInstallation,,,,,,,,
1328,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,3950.269230769231,GravityBasedInstallation,,,,,,,,
1329,,Towing Group 1,Positioning Support,24.0,37516.0,ACTION,3950.269230769231,GravityBasedInstallation,,site,,,,,1.0,
1330,,Turbine Assembly Line 2,Lift and Attach Blade,3.5,0.0,ACTION,3950.346153846154,GravityBasedInstallation,,,,,,,,
1331,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,3953.269230769231,GravityBasedInstallation,,,,,,,,
