,cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,phase_name,per_trip,location,max_waveheight,max_windspeed,transit_speed
1625,,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,2033.392151746872,MonopileInstallation,,,,,,,,
1626,,WTIV,Jackup,0.43333333333333335,7222.222222222223,ACTION,2033.8254850802055,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1628,,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,2034.8254850802055,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1631,,WTIV,Release Monopile,3.0,50000.0,ACTION,2037.8254850802055,MonopileInstallation,,,,,,,,
1632,,WTIV,Upend Monopile,0.8163377964765433,13605.629941275722,ACTION,2038.641822876682,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1633,,WTIV,Lower Monopile,0.005,83.33333333333334,ACTION,2038.646822876682,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1635,,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,2039.646822876682,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1638,,WTIV,Drive Monopile,1.5,25000.0,ACTION,2041.146822876682,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1639,,WTIV,Release Transition Piece,2.0,33333.333333333336,ACTION,2043.146822876682,MonopileInstallation,,,,,,,,
1640,,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,2044.146822876682,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1641,,WTIV,Lower TP,1.0,16666.666666666668,ACTION,2045.146822876682,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1645,,WTIV,Bolt TP,4.0,66666.66666666667,ACTION,2049.146822876682,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1647,,WTIV,Jackdown,0.43333333333333335,7222.222222222223,ACTION,2049.5801562100155,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1650,,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,2051.5801562100155,MonopileInstallation,,,,,,,,
1651,,WTIV,Jackup,0.43333333333333335,7222.222222222223,ACTION,2052.013489543349,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1653,,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,2053.013489543349,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1655,,WTIV,Release Monopile,3.0,50000.0,ACTION,2056.013489543349,MonopileInstallation,,,,,,,,
1656,,WTIV,Upend Monopile,0.8163377964765433,13605.629941275722,ACTION,2056.8298273398254,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1657,,WTIV,Lower Monopile,0.005,83.33333333333334,ACTION,2056.8348273398256,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1658,,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,2057.8348273398256,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1661,,WTIV,Drive Monopile,1.5,25000.0,ACTION,2059.3348273398256,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1665,,WTIV,Release Transition Piece,2.0,33333.333333333336,ACTION,2061.3348273398256,MonopileInstallation,,,,,,,,
1667,,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,2062.3348273398256,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1668,,WTIV,Lower TP,1.0,16666.666666666668,ACTION,2063.3348273398256,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1671,,WTIV,Bolt TP,4.0,66666.66666666667,ACTION,2067.3348273398256,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1672,,WTIV,Jackdown,0.43333333333333335,7222.222222222223,ACTION,2067.768160673159,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1680,,WTIV,Transit,12.0,200000.0,ACTION,2079.768160673159,MonopileInstallation,,,,,,,,
1687,,WTIV,Fasten Monopile,12.0,200000.0,ACTION,2091.768160673159,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1691,,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,2099.768160673159,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1700,,WTIV,Fasten Monopile,12.0,200000.0,ACTION,2111.768160673159,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1706,,WTIV,Delay,22.0,366666.6666666667,ACTION,2133.768160673159,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1710,,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,2141.768160673159,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1724,,WTIV,Fasten Monopile,12.0,200000.0,ACTION,2153.768160673159,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1725,,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,2161.768160673159,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1730,,WTIV,Transit,12.0,200000.0,ACTION,2173.768160673159,MonopileInstallation,,,,,,,,
1732,,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,2175.768160673159,MonopileInstallation,,,,,,,,
1733,,WTIV,Jackup,0.43333333333333335,7222.222222222223,ACTION,2176.2014940064923,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1734,,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,2177.2014940064923,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1738,,WTIV,Release Monopile,3.0,50000.0,ACTION,2180.2014940064923,MonopileInstallation,,,,,,,,
1740,,WTIV,Upend Monopile,0.8163377964765433,13605.629941275722,ACTION,2181.017831802969,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1741,,WTIV,Lower Monopile,0.005,83.33333333333334,ACTION,2181.022831802969,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1743,,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,2182.022831802969,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1744,,WTIV,Drive Monopile,1.5,25000.0,ACTION,2183.522831802969,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1745,,WTIV,Release Transition Piece,2.0,33333.333333333336,ACTION,2185.522831802969,MonopileInstallation,,,,,,,,
1748,,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,2186.522831802969,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1749,,WTIV,Lower TP,1.0,16666.666666666668,ACTION,2187.522831802969,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
