,cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,phase_name,num_vessels,num_ahts_vessels,location,max_waveheight,max_windspeed,transit_speed
1417,,WTIV,Fasten Blade,1.5,25000.0,ACTION,2444.0666666666675,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1419,,WTIV,Fasten Blade,1.5,25000.0,ACTION,2445.5666666666675,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1420,,WTIV,Fasten Blade,1.5,25000.0,ACTION,2447.0666666666675,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1422,,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,2451.0666666666675,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1429,,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,2455.0666666666675,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1431,,WTIV,Fasten Nacelle,4.0,66666.66666666667,ACTION,2459.0666666666675,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1433,,WTIV,Fasten Blade,1.5,25000.0,ACTION,2460.5666666666675,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1436,,WTIV,Fasten Blade,1.5,25000.0,ACTION,2462.0666666666675,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1439,,WTIV,Fasten Blade,1.5,25000.0,ACTION,2463.5666666666675,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1444,,WTIV,Transit,12.0,200000.0,ACTION,2475.5666666666675,TurbineInstallation,,,,,,,,,
1445,,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,2477.5666666666675,TurbineInstallation,,,,,,,,,
1446,,WTIV,Jackup,0.43333333333333335,7222.222222222223,ACTION,2478.000000000001,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1449,,WTIV,Release Tower Section,3.0,50000.0,ACTION,2481.000000000001,TurbineInstallation,,,,,,,,,
1450,,WTIV,Lift Tower Section,0.75,12500.0,ACTION,2481.750000000001,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1451,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,2487.750000000001,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1452,,WTIV,Release Tower Section,3.0,50000.0,ACTION,2490.750000000001,TurbineInstallation,,,,,,,,,
1453,,WTIV,Lift Tower Section,1.5,25000.0,ACTION,2492.250000000001,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1457,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,2498.250000000001,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1460,,WTIV,Release Nacelle,3.0,50000.0,ACTION,2501.250000000001,TurbineInstallation,,,,,,,,,
1461,,WTIV,Reequip,1.0,16666.666666666668,ACTION,2502.250000000001,TurbineInstallation,,,,,,,,,
1463,,WTIV,Lift Nacelle,1.5,25000.0,ACTION,2503.750000000001,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1465,,WTIV,Attach Nacelle,6.0,100000.0,ACTION,2509.750000000001,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1466,,WTIV,Reequip,1.0,16666.666666666668,ACTION,2510.750000000001,TurbineInstallation,,,,,,,,,
1468,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,2511.750000000001,TurbineInstallation,,,,,,,,,
1470,,WTIV,Lift Blade,1.5,25000.0,ACTION,2513.250000000001,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1471,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,2516.750000000001,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1477,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,2517.750000000001,TurbineInstallation,,,,,,,,,
1478,,WTIV,Lift Blade,1.5,25000.0,ACTION,2519.250000000001,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1479,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,2522.750000000001,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1481,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,2523.750000000001,TurbineInstallation,,,,,,,,,
1483,,WTIV,Lift Blade,1.5,25000.0,ACTION,2525.250000000001,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1484,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,2528.750000000001,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1485,,WTIV,Jackdown,0.43333333333333335,7222.222222222223,ACTION,2529.1833333333343,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1486,,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,2531.1833333333343,TurbineInstallation,,,,,,,,,
1487,,WTIV,Jackup,0.43333333333333335,7222.222222222223,ACTION,2531.6166666666677,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1488,,WTIV,Release Tower Section,3.0,50000.0,ACTION,2534.6166666666677,TurbineInstallation,,,,,,,,,
1489,,WTIV,Lift Tower Section,0.75,12500.0,ACTION,2535.3666666666677,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1492,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,2541.3666666666677,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1495,,WTIV,Release Tower Section,3.0,50000.0,ACTION,2544.3666666666677,TurbineInstallation,,,,,,,,,
1496,,WTIV,Lift Tower Section,1.5,25000.0,ACTION,2545.8666666666677,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1497,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,2551.8666666666677,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1500,,WTIV,Release Nacelle,3.0,50000.0,ACTION,2554.8666666666677,TurbineInstallation,,,,,,,,,
1502,,WTIV,Reequip,1.0,16666.666666666668,ACTION,2555.8666666666677,TurbineInstallation,,,,,,,,,
1503,,WTIV,Lift Nacelle,1.5,25000.0,ACTION,2557.3666666666677,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1507,,WTIV,Attach Nacelle,6.0,100000.0,ACTION,2563.3666666666677,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1508,,WTIV,Reequip,1.0,16666.666666666668,ACTION,2564.3666666666677,TurbineInstallation,,,,,,,,,
1510,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,2565.3666666666677,TurbineInstallation,,,,,,,,,
1512,,WTIV,Lift Blade,1.5,25000.0,ACTION,2566.8666666666677,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1514,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,2570.3666666666677,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1515,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,2571.3666666666677,TurbineInstallation,,,,,,,,,
1516,,WTIV,Lift Blade,1.5,25000.0,ACTION,2572.8666666666677,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
