,cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,phase_name,per_trip,location,max_waveheight,max_windspeed,transit_speed
2712,,WTIV,Fasten Blade,1.5,25000.0,ACTION,3989.7000000000025,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2713,,WTIV,Fasten Blade,1.5,25000.0,ACTION,3991.2000000000025,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2714,,WTIV,Fasten Blade,1.5,25000.0,ACTION,3992.7000000000025,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2715,,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,3996.7000000000025,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2716,,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,4000.7000000000025,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2717,,WTIV,Fasten Nacelle,4.0,66666.66666666667,ACTION,4004.7000000000025,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2718,,WTIV,Fasten Blade,1.5,25000.0,ACTION,4006.2000000000025,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2719,,WTIV,Fasten Blade,1.5,25000.0,ACTION,4007.7000000000025,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2720,,WTIV,Fasten Blade,1.5,25000.0,ACTION,4009.2000000000025,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2723,,WTIV,Transit,12.0,200000.0,ACTION,4021.2000000000025,TurbineInstallation,,,,,,,,
2724,,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,4023.2000000000025,TurbineInstallation,,,,,,,,
2725,,WTIV,Jackup,0.43333333333333335,7222.222222222223,ACTION,4023.633333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2727,,WTIV,Release Tower Section,3.0,50000.0,ACTION,4026.633333333336,TurbineInstallation,,,,,,,,
2729,,WTIV,Delay,4.0,66666.66666666667,ACTION,4030.633333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2730,,WTIV,Lift Tower Section,0.75,12500.0,ACTION,4031.383333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2733,,WTIV,Delay,2.0,33333.333333333336,ACTION,4033.383333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2735,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4039.383333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2736,,WTIV,Release Tower Section,3.0,50000.0,ACTION,4042.383333333336,TurbineInstallation,,,,,,,,
2737,,WTIV,Lift Tower Section,1.5,25000.0,ACTION,4043.883333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2740,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4049.883333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2741,,WTIV,Release Nacelle,3.0,50000.0,ACTION,4052.883333333336,TurbineInstallation,,,,,,,,
2742,,WTIV,Reequip,1.0,16666.666666666668,ACTION,4053.883333333336,TurbineInstallation,,,,,,,,
2743,,WTIV,Lift Nacelle,1.5,25000.0,ACTION,4055.383333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2749,,WTIV,Delay,16.0,266666.6666666667,ACTION,4071.383333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2754,,WTIV,Attach Nacelle,6.0,100000.0,ACTION,4077.383333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2755,,WTIV,Reequip,1.0,16666.666666666668,ACTION,4078.383333333336,TurbineInstallation,,,,,,,,
