,cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,phase_name,num_vessels,num_ahts_vessels,location,max_waveheight,max_windspeed,transit_speed
153,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,150.71428571428572,GravityBasedInstallation,,,,3.0,0.0,,,,
154,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,28.571428571428584,127603.57142857148,ACTION,150.71428571428572,GravityBasedInstallation,,,,,,Site,,,
158,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,155.71428571428572,GravityBasedInstallation,,,,,,,,,
161,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,156.71428571428572,GravityBasedInstallation,,,,,,,,,
174,,Multi-Purpose AHTS Vessel,Delay,35.0,156314.375,ACTION,191.71428571428572,GravityBasedInstallation,,,,,,,,,
183,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,203.71428571428572,GravityBasedInstallation,,,,,,,,,
187,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,209.71428571428572,GravityBasedInstallation,,,,,,,,,
188,,Towing Group 1,Positioning Support,59.0,92226.83333333334,ACTION,209.71428571428572,GravityBasedInstallation,,,,1.0,,site,,,
190,,Towing Group 1,Transit,8.571428571428571,40195.71428571428,ACTION,218.2857142857143,GravityBasedInstallation,,,,3.0,0.0,,,,
191,,Substructure Assembly Line 1,Delay: No Substructure Storage Available,87.57100000041814,0.0,ACTION,218.28600000067823,GravityBasedInstallation,,,,,,,,,
192,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,218.28600000067823,GravityBasedInstallation,,,,,,,,,
205,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,238.2857142857143,GravityBasedInstallation,,,,3.0,0.0,,,,
206,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,28.571428571428584,127603.57142857148,ACTION,238.2857142857143,GravityBasedInstallation,,,,,,Site,,,
215,,Multi-Purpose AHTS Vessel,Delay,12.0,53593.5,ACTION,250.2857142857143,GravityBasedInstallation,,,,,,,,,
220,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,255.2857142857143,GravityBasedInstallation,,,,,,,,,
221,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,256.28571428571433,GravityBasedInstallation,,,,,,,,,
230,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,268.28571428571433,GravityBasedInstallation,,,,,,,,,
234,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,274.28571428571433,GravityBasedInstallation,,,,,,,,,
235,,Towing Group 1,Positioning Support,36.00000000000003,56274.000000000044,ACTION,274.28571428571433,GravityBasedInstallation,,,,1.0,,site,,,
239,,Towing Group 1,Transit,8.571428571428571,40195.71428571428,ACTION,282.8571428571429,GravityBasedInstallation,,,,3.0,0.0,,,,
240,,Substructure Assembly Line 1,Delay: No Substructure Storage Available,64.57199999954494,0.0,ACTION,282.85800000022317,GravityBasedInstallation,,,,,,,,,
241,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,282.85800000022317,GravityBasedInstallation,,,,,,,,,
258,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,302.8571428571429,GravityBasedInstallation,,,,3.0,0.0,,,,
259,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,28.571428571428555,127603.57142857136,ACTION,302.8571428571429,GravityBasedInstallation,,,,,,Site,,,
263,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,307.8571428571429,GravityBasedInstallation,,,,,,,,,
265,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,308.8571428571429,GravityBasedInstallation,,,,,,,,,
278,,Multi-Purpose AHTS Vessel,Delay,11.0,49127.375,ACTION,319.8571428571429,GravityBasedInstallation,,,,,,,,,
287,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,331.8571428571429,GravityBasedInstallation,,,,,,,,,
293,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,337.8571428571429,GravityBasedInstallation,,,,,,,,,
294,,Towing Group 1,Positioning Support,35.0,54710.833333333336,ACTION,337.8571428571429,GravityBasedInstallation,,,,1.0,,site,,,
299,,Towing Group 1,Transit,8.571428571428571,40195.71428571428,ACTION,346.42857142857144,GravityBasedInstallation,,,,3.0,0.0,,,,
300,,Substructure Assembly Line 1,Delay: No Substructure Storage Available,63.570999998496745,0.0,ACTION,346.4289999987199,GravityBasedInstallation,,,,,,,,,
301,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,346.4289999987199,GravityBasedInstallation,,,,,,,,,
315,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,366.42857142857144,GravityBasedInstallation,,,,3.0,0.0,,,,
316,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,28.571428571428555,127603.57142857136,ACTION,366.42857142857144,GravityBasedInstallation,,,,,,Site,,,
321,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,371.42857142857144,GravityBasedInstallation,,,,,,,,,
322,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,372.42857142857144,GravityBasedInstallation,,,,,,,,,
330,,Multi-Purpose AHTS Vessel,Delay,4.0,17864.5,ACTION,376.42857142857144,GravityBasedInstallation,,,,,,,,,
336,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,388.42857142857144,GravityBasedInstallation,,,,,,,,,
339,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,394.42857142857144,GravityBasedInstallation,,,,,,,,,
340,,Towing Group 1,Positioning Support,28.0,43768.66666666667,ACTION,394.42857142857144,GravityBasedInstallation,,,,1.0,,site,,,
346,,Towing Group 1,Transit,8.571428571428571,40195.71428571428,ACTION,403.0,GravityBasedInstallation,,,,3.0,0.0,,,,
347,,Substructure Assembly Line 1,Delay: No Substructure Storage Available,56.57199999866225,0.0,ACTION,403.00099999738217,GravityBasedInstallation,,,,,,,,,
348,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,403.00099999738217,GravityBasedInstallation,,,,,,,,,
362,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,423.0,GravityBasedInstallation,,,,3.0,0.0,,,,
363,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,28.571428571428555,127603.57142857136,ACTION,423.0,GravityBasedInstallation,,,,,,Site,,,
364,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,428.0,GravityBasedInstallation,,,,,,,,,
366,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,429.0,GravityBasedInstallation,,,,,,,,,
376,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,441.0,GravityBasedInstallation,,,,,,,,,
381,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,447.0,GravityBasedInstallation,,,,,,,,,
382,,Towing Group 1,Positioning Support,24.0,37516.0,ACTION,447.0,GravityBasedInstallation,,,,1.0,,site,,,
387,,Towing Group 1,Transit,8.571428571428571,40195.71428571428,ACTION,455.57142857142856,GravityBasedInstallation,,,,3.0,0.0,,,,
388,,Substructure Assembly Line 1,Delay: No Substructure Storage Available,52.57099999875686,0.0,ACTION,455.571999996139,GravityBasedInstallation,,,,,,,,,
389,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,455.571999996139,GravityBasedInstallation,,,,,,,,,
403,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,475.57142857142856,GravityBasedInstallation,,,,3.0,0.0,,,,
404,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,28.571428571428555,127603.57142857136,ACTION,475.57142857142856,GravityBasedInstallation,,,,,,Site,,,
409,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,480.57142857142856,GravityBasedInstallation,,,,,,,,,
410,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,481.57142857142856,GravityBasedInstallation,,,,,,,,,
423,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,493.57142857142856,GravityBasedInstallation,,,,,,,,,
431,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,499.57142857142856,GravityBasedInstallation,,,,,,,,,
