,cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,location,site_depth,max_waveheight,max_windspeed,transit_speed,num_vessels,num_ahts_vessels
166,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,369.07142857142856,GravityBasedInstallation,,,,,,,,
167,,Towing Group 1,Positioning Support,32.571428571428555,50914.571428571406,ACTION,369.07142857142856,GravityBasedInstallation,,site,,,,,1.0,
174,,Towing Group 1,Transit,8.571428571428571,40195.71428571428,ACTION,377.6428571428571,GravityBasedInstallation,,,,,,,3.0,0.0
179,,Turbine Assembly Line 1,Mechanical Completion,24.0,0.0,ACTION,391.0,GravityBasedInstallation,,,,,,,,
197,,Turbine Assembly Line 1,Electrical Completion,72.0,0.0,ACTION,463.0,GravityBasedInstallation,,,,,,,,
198,,Towing Group 1,Delay: No Completed Assemblies Available,85.35714285714289,400282.3214285716,ACTION,463.0,GravityBasedInstallation,,,,,,,3.0,
199,,Substructure Assembly Line 1,Delay: No Substructure Storage Available,146.5,0.0,ACTION,463.0,GravityBasedInstallation,,,,,,,,
200,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,463.0,GravityBasedInstallation,,,,,,,,
201,,Turbine Assembly Line 1,Move Substructure,8.0,0.0,ACTION,471.0,GravityBasedInstallation,,,,,,,,
206,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,483.0,GravityBasedInstallation,,,,,,,3.0,0.0
207,,Turbine Assembly Line 1,Prepare for Turbine Assembly,12.0,0.0,ACTION,483.0,GravityBasedInstallation,,,,,,,,
208,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,113.92857142857144,508819.24107142864,ACTION,483.0,GravityBasedInstallation,,Site,,,,,,
214,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,487.0,GravityBasedInstallation,,,,,,,,
215,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,488.0,GravityBasedInstallation,,,,,,,,
216,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,489.0,GravityBasedInstallation,,,,,,,,
217,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,491.0,GravityBasedInstallation,,,,,,,,
226,,Turbine Assembly Line 1,Delay,86.0,0.0,ACTION,577.0,GravityBasedInstallation,,,,,,,,
227,,Turbine Assembly Line 1,Lift and Attach Nacelle,12.0,0.0,ACTION,589.0,GravityBasedInstallation,,,,,,,,
228,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,592.5,GravityBasedInstallation,,,,,,,,
229,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,596.0,GravityBasedInstallation,,,,,,,,
230,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,599.5,GravityBasedInstallation,,,,,,,,
233,,Multi-Purpose AHTS Vessel,Delay,119.0,531468.875,ACTION,608.0,GravityBasedInstallation,,,,,,,,
235,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,620.0,GravityBasedInstallation,,,,,,,,
236,,Turbine Assembly Line 1,Mechanical Completion,24.0,0.0,ACTION,623.5,GravityBasedInstallation,,,,,,,,
237,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,626.0,GravityBasedInstallation,,,,,,,,
238,,Towing Group 1,Positioning Support,143.0,223532.83333333334,ACTION,626.0,GravityBasedInstallation,,site,,,,,1.0,
241,,Towing Group 1,Transit,8.571428571428571,40195.71428571428,ACTION,634.5714285714286,GravityBasedInstallation,,,,,,,3.0,0.0
260,,Turbine Assembly Line 1,Electrical Completion,72.0,0.0,ACTION,695.5,GravityBasedInstallation,,,,,,,,
261,,Towing Group 1,Delay: No Completed Assemblies Available,60.928571428571445,285724.5357142858,ACTION,695.5,GravityBasedInstallation,,,,,,,3.0,
262,,Substructure Assembly Line 1,Delay: No Substructure Storage Available,232.5,0.0,ACTION,695.5,GravityBasedInstallation,,,,,,,,
263,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,695.5,GravityBasedInstallation,,,,,,,,
267,,Turbine Assembly Line 1,Move Substructure,8.0,0.0,ACTION,703.5,GravityBasedInstallation,,,,,,,,
272,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,715.5,GravityBasedInstallation,,,,,,,3.0,0.0
273,,Turbine Assembly Line 1,Prepare for Turbine Assembly,12.0,0.0,ACTION,715.5,GravityBasedInstallation,,,,,,,,
274,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,89.5,399718.1875,ACTION,715.5,GravityBasedInstallation,,Site,,,,,,
276,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,719.5,GravityBasedInstallation,,,,,,,,
277,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,720.5,GravityBasedInstallation,,,,,,,,
278,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,721.5,GravityBasedInstallation,,,,,,,,
279,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,723.5,GravityBasedInstallation,,,,,,,,
280,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,733.5,GravityBasedInstallation,,,,,,,,
281,,Turbine Assembly Line 1,Lift and Attach Nacelle,12.0,0.0,ACTION,735.5,GravityBasedInstallation,,,,,,,,
283,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,739.0,GravityBasedInstallation,,,,,,,,
284,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,739.5,GravityBasedInstallation,,,,,,,,
285,,Towing Group 1,Positioning Support,24.0,37516.0,ACTION,739.5,GravityBasedInstallation,,site,,,,,1.0,
287,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,742.5,GravityBasedInstallation,,,,,,,,
290,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,746.0,GravityBasedInstallation,,,,,,,,
292,,Towing Group 1,Transit,8.571428571428571,40195.71428571428,ACTION,748.0714285714286,GravityBasedInstallation,,,,,,,3.0,0.0
303,,Turbine Assembly Line 1,Mechanical Completion,24.0,0.0,ACTION,770.0,GravityBasedInstallation,,,,,,,,
312,,Turbine Assembly Line 1,Electrical Completion,72.0,0.0,ACTION,842.0,GravityBasedInstallation,,,,,,,,
