,cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,phase_name,num_vessels,num_ahts_vessels,location,max_waveheight,max_windspeed,transit_speed
2510,,WTIV,Lift Blade,1.5,25000.0,ACTION,4136.500000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2511,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4140.000000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2512,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4141.000000000003,TurbineInstallation,,,,,,,,,
2513,,WTIV,Lift Blade,1.5,25000.0,ACTION,4142.500000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2514,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4146.000000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2515,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4147.000000000003,TurbineInstallation,,,,,,,,,
2516,,WTIV,Lift Blade,1.5,25000.0,ACTION,4148.500000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2517,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4152.000000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2518,,WTIV,Jackdown,0.43333333333333335,7222.222222222223,ACTION,4152.433333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2519,,WTIV,Transit,12.0,200000.0,ACTION,4164.433333333336,TurbineInstallation,,,,,,,,,
2520,,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,4168.433333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2523,,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,4172.433333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2524,,WTIV,Fasten Nacelle,4.0,66666.66666666667,ACTION,4176.433333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2525,,WTIV,Fasten Blade,1.5,25000.0,ACTION,4177.933333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2526,,WTIV,Fasten Blade,1.5,25000.0,ACTION,4179.433333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2527,,WTIV,Fasten Blade,1.5,25000.0,ACTION,4180.933333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2528,,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,4184.933333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2529,,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,4188.933333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2530,,WTIV,Fasten Nacelle,4.0,66666.66666666667,ACTION,4192.933333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2531,,WTIV,Fasten Blade,1.5,25000.0,ACTION,4194.433333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2532,,WTIV,Fasten Blade,1.5,25000.0,ACTION,4195.933333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2533,,WTIV,Fasten Blade,1.5,25000.0,ACTION,4197.433333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2534,,WTIV,Transit,12.0,200000.0,ACTION,4209.433333333336,TurbineInstallation,,,,,,,,,
2535,,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,4211.433333333336,TurbineInstallation,,,,,,,,,
2536,,WTIV,Jackup,0.43333333333333335,7222.222222222223,ACTION,4211.8666666666695,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2537,,WTIV,Release Tower Section,3.0,50000.0,ACTION,4214.8666666666695,TurbineInstallation,,,,,,,,,
2539,,WTIV,Lift Tower Section,0.75,12500.0,ACTION,4215.6166666666695,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2541,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4221.6166666666695,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2543,,WTIV,Release Tower Section,3.0,50000.0,ACTION,4224.6166666666695,TurbineInstallation,,,,,,,,,
2544,,WTIV,Lift Tower Section,1.5,25000.0,ACTION,4226.1166666666695,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2548,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4232.1166666666695,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2549,,WTIV,Release Nacelle,3.0,50000.0,ACTION,4235.1166666666695,TurbineInstallation,,,,,,,,,
2551,,WTIV,Reequip,1.0,16666.666666666668,ACTION,4236.1166666666695,TurbineInstallation,,,,,,,,,
2552,,WTIV,Lift Nacelle,1.5,25000.0,ACTION,4237.6166666666695,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2555,,WTIV,Attach Nacelle,6.0,100000.0,ACTION,4243.6166666666695,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2556,,WTIV,Reequip,1.0,16666.666666666668,ACTION,4244.6166666666695,TurbineInstallation,,,,,,,,,
